date,open,high,low,close,volume,market_cap
2018-10-28,207.46,209.3,202.14,204.99,679114.68995,679114.68995
2018-10-21,196.84,239.0,194.6,207.49,1824150.84173,1824150.84173
2018-10-14,226.26,232.7,189.01,197.01,1365460.76116,1365460.76116
2018-10-07,233.04,235.88,216.51,226.14,1470674.08032,1470674.08032
2018-09-30,244.54,246.2,203.61,232.94,3911449.60008,3911449.60008
2018-09-23,220.24,255.13,192.4,244.5,3979103.65229,3979103.65229
2018-09-16,196.13,227.42,167.32,220.17,3839317.7231,3839317.7231
2018-09-09,295.51,296.62,185.02,195.81,2833081.76826,2833081.76826
2018-09-02,274.17,302.0,271.59,295.41,2011520.42595,2011520.42595
2018-08-26,299.3,304.04,259.5,274.29,1882848.41639,1882848.41639
2018-08-19,317.96,321.99,250.0,299.42,2482234.79159,2482234.79159
2018-08-12,408.77,413.28,304.45,317.89,1628951.45513,1628951.45513
2018-08-05,466.4,469.79,396.61,408.79,1322055.51631,1322055.51631
2018-07-29,457.47,485.77,447.11,466.4,1103214.93743,1103214.93743
2018-07-22,449.79,515.47,440.0,457.47,1091022.57425,1091022.57425
2018-07-15,486.55,488.98,416.94,449.78,1017062.08356,1017062.08356
2018-07-08,452.14,495.98,444.16,486.77,925993.61335,925993.61335
2018-07-01,454.29,474.47,404.48,452.1,846302.28807,846302.28807
2018-06-24,497.15,548.2,419.53,454.41,1001118.9147,1001118.9147
2018-06-17,524.64,538.88,449.06,497.14,1100916.41379,1100916.41379
