date,open,high,low,close,volume
2018-10-19,259.06,282.7,253.5,260.0,39178600.0
2018-10-12,264.52,267.76,247.77,258.78,53717700.0
2018-10-05,305.77,316.84,260.0,261.95,69274800.0
2018-09-28,298.48,314.96,260.56,264.77,59326700.0
2018-09-21,290.04,305.98,275.5,299.1,44129900.0
2018-09-14,273.26,297.33,271.0,295.2,46546500.0
2018-09-07,296.94,298.19,252.25,263.24,46044000.0
2018-08-31,318.0,322.44,297.72,301.66,40767600.0
2018-08-24,291.7,327.32,288.2,322.82,45270400.0
2018-08-17,361.13,363.19,303.53,305.5,51560500.0
2018-08-10,345.46,387.46,339.15,355.49,92667000.0
2018-08-03,295.9,355.0,286.13,348.17,58891900.0
2018-07-27,301.84,310.7,292.55,297.18,37991100.0
2018-07-20,311.71,325.5,306.25,313.58,31507800.0
2018-07-13,311.99,327.68,308.0,318.87,33543400.0
2018-07-06,360.07,364.78,296.22,308.9,57384300.0
2018-06-29,330.12,357.02,325.8,342.95,37596700.0
2018-06-22,355.4,373.73,332.0,333.63,51423400.0
2018-06-15,322.51,364.67,322.5,358.17,66830000.0
2018-06-08,294.34,330.0,286.74,317.66,51980300.0
2018-06-01,278.51,295.01,276.15,291.82,24484900.0
2018-05-25,281.33,291.49,273.42,278.85,32133300.0
2018-05-18,303.32,304.94,274.0,276.82,34152500.0
2018-05-11,297.5,312.99,295.17,301.06,30666800.0
2018-05-04,293.61,306.85,275.23,294.09,43745700.0
2018-04-27,291.29,294.47,276.5,294.08,23312900.0
2018-04-20,299.0,301.01,282.51,290.24,31614700.0
2018-04-13,300.37,309.5,289.21,300.34,43619400.0
2018-04-06,256.26,309.28,244.59,299.3,87496500.0
2018-03-29,307.34,307.59,248.21,266.13,58192907.0
2018-03-23,316.5,322.44,300.45,301.54,29609674.0
2018-03-16,328.61,347.21,319.07,321.35,34502311.0
2018-03-09,332.39,337.75,321.74,327.17,22073457.0
2018-03-02,353.5,359.99,322.97,335.12,27095703.0
2018-02-23,334.47,354.99,331.5,352.05,19909850.0
2018-02-16,316.13,343.12,306.25,335.49,26081845.0
2018-02-09,337.97,348.62,294.76,310.42,37630091.0
2018-02-02,339.85,359.66,338.28,343.75,23333591.0
2018-01-26,349.4,360.5,335.71,342.85,27994444.0
2018-01-19,337.54,352.3,334.8,350.02,23886776.0
2018-01-12,316.0,344.81,315.5,336.22,32546449.0
2018-01-05,312.0,325.25,305.68,316.58,23007314.0
2017-12-29,323.83,323.94,309.54,311.35,16989660.0
2017-12-22,344.9,346.73,324.82,325.2,26701975.0
2017-12-15,314.63,347.44,313.75,343.45,35352559.0
2017-12-08,306.5,318.6341,300.0,315.13,25748643.0
2017-12-01,313.25,320.0,301.23,306.53,26853376.0
2017-11-24,313.79,318.23,304.75,315.55,23610581.0
2017-11-17,300.13,326.67,299.11,315.05,38626677.0
2017-11-10,307.0,308.36,296.3,302.99,26395521.0
2017-11-03,319.18,332.6089,292.63,306.09,45364011.0
2017-10-27,349.88,349.95,316.66,320.87,30650197.0
2017-10-20,353.76,363.0,344.34,345.1,23453845.0
2017-10-13,349.65,359.78,342.67,355.57,26373796.0
2017-10-06,342.52,360.0992,331.28,356.88,31277766.0
2017-09-29,353.15,357.469,335.4,341.1,31020949.0
2017-09-22,380.25,389.61,350.88,351.09,31009283.0
2017-09-15,351.35,380.0,350.0,379.81,30319934.0
2017-09-08,353.8,355.49,341.56,343.4,15377580.0
2017-09-01,347.28,358.44,338.75,355.4,18251888.0
2017-08-25,345.82,356.66,331.85,348.05,23663776.0
2017-08-18,364.63,367.66,345.8,347.46,21142880.0
2017-08-11,357.35,370.0,352.75,357.715,31829875.0
2017-08-04,335.5,357.27,311.22,356.91,49258414.0
2017-07-28,330.24,347.5,326.29,335.07,33361558.0
2017-07-21,325.54,331.65,313.45,328.4,32336986.0
2017-07-14,312.9,333.1,303.13,327.78,49530808.0
2017-07-07,370.24,371.35,306.3,313.22,56423771.0
2017-06-30,386.69,386.95,354.1,361.61,33644720.0
2017-06-23,375.0,386.99,367.8,383.45,32351299.0
2017-06-16,357.99,384.25,350.62,371.4,51533459.0
2017-06-09,338.5,376.87,334.21,357.32,53112475.0
2017-06-02,326.0,344.88,325.76,339.85,30676943.0
2017-05-26,312.8,325.49,303.48,325.14,26126331.0
2017-05-19,318.38,320.2,305.31,310.83,28595930.0
2017-05-12,310.9,327.0,305.82,324.81,31066200.0
2017-05-05,314.88,327.6599,290.7601,308.35,42126055.0
2017-04-28,309.22,314.8,305.86,314.07,23806017.0
2017-04-21,302.7,309.15,297.9,305.6,21731566.0
2017-04-13,309.15,313.7299,295.3,304.0,28724351.0
2017-04-07,286.9,304.88,284.58,302.54,41987629.0
2017-03-31,260.6,282.0,259.75,278.3,25337622.0
2017-03-24,260.6,264.8,250.24,263.16,23549643.0
2017-03-17,244.82,265.75,242.781,261.5,29581526.0
2017-03-10,247.91,253.89,243.0,243.69,17489184.0
2017-03-03,248.17,254.85,242.01,251.57,28629510.0
2017-02-24,275.45,283.45,250.2,257.0,37518597.0
2017-02-17,270.74,287.39,264.15,272.23,32657156.0
2017-02-10,251.0,271.18,250.63,269.23,23180267.0
2017-02-03,252.53,255.89,247.1,251.33,16562505.0
2017-01-27,245.85,258.46,245.5,252.95,22693209.0
2017-01-20,236.7,248.68,234.37,244.73,20323067.0
2017-01-13,228.97,237.85,225.58,237.75,21173453.0
2017-01-06,214.86,230.31,210.96,229.01,28576313.0
2016-12-30,214.88,223.8,211.68,213.69,18385776.0
2016-12-23,202.49,213.45,199.84,213.34,21166336.0
2016-12-16,192.8,203.0,191.04,202.49,20430143.0
2016-12-09,182.51,193.836,182.51,192.18,18842365.0
2016-12-02,195.48,199.35,180.0,181.47,21684267.0
2016-11-25,185.04,197.2372,183.71,196.65,17222395.0
2016-11-18,188.0,193.0,178.19,185.02,23986074.0
2016-11-11,193.59,197.49,180.42,188.56,26049602.0
2016-11-04,202.49,202.49,185.96,190.56,23804757.0
2016-10-28,201.0,213.7,199.83,199.97,28203302.0
2016-10-21,197.05,206.66,192.0,200.09,25242017.0
2016-10-14,201.35,204.14,196.3,196.51,14380671.0
2016-10-07,212.3,215.6688,195.8,196.61,19615327.0
2016-09-30,206.5,211.0,199.55,204.03,13169214.0
2016-09-23,207.0,210.18,201.56,207.45,12631620.0
2016-09-16,195.0,205.7,193.45,205.4,15756694.0
2016-09-09,199.02,206.4968,193.7,194.47,15166433.0
2016-09-02,220.15,220.4,196.2,197.78,23632295.0
2016-08-26,224.17,228.49,218.82,219.99,13422115.0
2016-08-19,226.02,229.5,222.29,225.0,9462599.0
2016-08-12,228.0,231.5375,223.41,225.61,10504194.0
2016-08-05,235.5,236.63,221.4,230.03,19190687.0
2016-07-29,222.27,235.28,221.3715,234.79,16299604.0
2016-07-22,219.64,229.8,218.3,222.27,16103961.0
2016-07-15,219.96,227.5,219.51,220.4,18483131.0
2016-07-08,209.73,219.81,208.0,216.78,17782007.0
2016-07-01,190.86,218.24,187.87,216.5,29670715.0
2016-06-24,219.5,223.75,189.73,193.15,48984154.0
2016-06-17,219.5,225.77,212.53,215.47,16234590.0
2016-06-10,218.0,240.845,215.45,218.79,24953754.0
2016-06-03,223.04,224.7497,216.89,218.99,10033499.0
2016-05-27,219.87,225.93,215.18,223.04,18971633.0
2016-05-20,208.15,220.55,204.02,220.28,27283909.0
2016-05-13,215.72,216.15,203.6572,207.61,20482120.0
2016-05-06,241.5,243.19,208.11,214.93,33786680.0
2016-04-29,253.01,257.38,237.81,240.76,18032772.0
2016-04-22,252.23,258.31,241.251,253.75,22392325.0
2016-04-15,251.0,258.99,243.63,254.51,27735047.0
2016-04-08,249.12,269.34,240.0,250.07,51349611.0
2016-04-01,231.61,247.9,225.0,237.59,35983378.0
2016-03-24,235.34,239.88,215.0,227.75,19533551.0
2016-03-18,212.65,234.48,210.64,232.74,19257545.0
2016-03-11,197.68,213.29,197.4,207.5,21059948.0
2016-03-04,192.4,204.03,181.5,201.04,27391628.0
2016-02-26,170.12,192.0,167.84,190.34,28255892.0
2016-02-19,158.7,172.95,154.11,166.58,18265917.0
2016-02-12,157.105,163.26,141.05,151.04,49859296.0
2016-02-05,188.76,199.52,157.7442,162.6,32825595.0
2016-01-29,200.06,203.57,182.41,191.2,18725183.0
2016-01-22,208.71,210.47,191.25,202.55,16167498.0
2016-01-15,214.01,214.45,193.38,204.99,23379136.0
2016-01-08,230.72,231.38,210.77,211.0,20975335.0
2015-12-31,231.49,243.634,225.54,240.01,10720553.0
2015-12-24,231.69,236.55,228.13,230.57,6179925.0
2015-12-18,217.51,237.76,214.87,230.46,16493091.0
2015-12-11,227.7,235.63,216.64,217.02,14230030.0
2015-12-04,231.79,238.6,227.66,230.38,14888403.0
2015-11-27,217.35,232.25,214.6798,231.61,10946624.0
2015-11-20,206.09,226.19,205.8,220.01,14790718.0
2015-11-13,232.99,232.99,206.52,207.19,18161900.0
2015-11-06,208.92,234.5843,207.22,232.36,31928932.0
2015-10-30,211.38,217.1,203.89,206.93,15883413.0
2015-10-23,226.5,231.15,202.0,209.09,28652034.0
2015-10-16,222.99,230.4805,211.13,227.01,19291010.0
2015-10-09,248.84,249.84,218.36,220.69,28031307.0
2015-10-02,257.35,259.79,234.93,247.57,22461718.0
2015-09-25,263.98,271.57,255.8,256.91,19606869.0
2015-09-18,251.1,265.5,249.5,260.62,17590274.0
2015-09-11,245.05,254.25,244.05,250.24,11588887.0
